NCD_0,NCD_1,NCD_2,NCD_3,NCD_4,NCD_5,NCD_6,AI_0,AI_1,AI_2,AI_3,AI_4,AI_5,AI_6,AS(NA)_0,AS(NA)_1,AS(NA)_2,AS(NA)_3,AS(NA)_4,AS(NA)_5,AS(NA)_6,BL_0,BL_1,BL_2,BL_3,BL_4,BL_5,BL_6,NAC_0,NAC_1,NAC_2,NAC_3,NAC_4,NAC_5,NAC_6,AS(NAC)_0,AS(NAC)_1,AS(NAC)_2,AS(NAC)_3,AS(NAC)_4,AS(NAC)_5,AS(NAC)_6,CS_0,CS_1,CS_2,CS_3,CS_4,CS_5,CS_6,AT_0,AT_1,AT_2,AT_3,AT_4,AT_5,AT_6,NA_0,NA_1,NA_2,NA_3,NA_4,NA_5,NA_6,ADL_0,ADL_1,ADL_2,ADL_3,ADL_4,ADL_5,ADL_6,NAD_0,NAD_1,NAD_2,NAD_3,NAD_4,NAD_5,NAD_6,Annotation
1,0,13,4,11,9,10,0,0,1,2,1,5,7,0.000001,0.000000,0.000002,0.000002,0.000002,0.000005,0.000008,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,0,13,4,11,9,10,0.000000,0.000000,0.000006,0.000002,0.000005,0.000004,0.000005,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,0,2,2,2,5,7,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,0,13,4,11,9,10,28.5
0,13,4,11,9,10,18,0,1,2,1,5,7,4,0.000000,0.000002,0.000002,0.000002,0.000005,0.000008,0.000006,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,13,4,11,9,10,18,0.000000,0.000006,0.000002,0.000005,0.000004,0.000005,0.000008,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,2,2,2,5,7,6,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,13,4,11,9,10,18,23.5
13,4,11,9,10,18,39,1,2,1,5,7,4,9,0.000002,0.000002,0.000002,0.000005,0.000008,0.000006,0.000011,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,13,4,11,9,10,18,39,0.000006,0.000002,0.000005,0.000004,0.000005,0.000008,0.000017,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,2,5,7,6,11,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,13,4,11,9,10,18,39,12.0
4,11,9,10,18,39,8,2,1,5,7,4,9,4,0.000002,0.000002,0.000005,0.000008,0.000006,0.000011,0.000005,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,4,11,9,10,18,39,8,0.000002,0.000005,0.000004,0.000005,0.000008,0.000017,0.000004,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,2,5,7,6,11,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,4,11,9,10,18,39,8,8.0
11,9,10,18,39,8,16,1,5,7,4,9,4,5,0.000002,0.000005,0.000008,0.000006,0.000011,0.000005,0.000006,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11,9,10,18,39,8,16,0.000005,0.000004,0.000005,0.000008,0.000017,0.000004,0.000007,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,5,7,6,11,5,6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,11,9,10,18,39,8,16,1.0
9,10,18,39,8,16,0,5,7,4,9,4,5,0,0.000005,0.000008,0.000006,0.000011,0.000005,0.000006,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,9,10,18,39,8,16,0,0.000004,0.000005,0.000008,0.000017,0.000004,0.000007,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,5,7,6,11,5,6,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,9,10,18,39,8,16,0,6.0
1,0,1,6,0,0,2,1,0,1,3,0,0,2,0.000001,0.000000,0.000001,0.000003,0.000000,0.000000,0.000002,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1,0,1,6,0,0,2,0.000000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000001,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1,0,1,3,0,0,2,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1,0,1,6,0,0,2,1.0
0,1,6,0,0,2,2,0,1,3,0,0,2,2,0.000000,0.000001,0.000003,0.000000,0.000000,0.000002,0.000002,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0,1,6,0,0,2,2,0.000000,0.000000,0.000003,0.000000,0.000000,0.000001,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0,1,3,0,0,2,2,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0,1,6,0,0,2,2,0.0
0,2,2,0,0,8,4,0,2,2,0,0,8,4,0.000000,0.000002,0.000002,0.000000,0.000000,0.000011,0.000006,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0,2,2,0,0,17,19,0.000000,0.000001,0.000001,0.000000,0.000000,0.000008,0.000009,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.750000,1.500000,0,2,2,0,0,10,5,0.000000,1.000000,1.000000,0.000000,0.000000,2.125000,4.750000,0,2,2,0,0,8,4,1.5
2,2,0,0,8,4,1,2,2,0,0,8,4,1,0.000002,0.000002,0.000000,0.000000,0.000011,0.000006,0.000002,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2,2,0,0,17,19,3,0.000001,0.000001,0.000000,0.000000,0.000008,0.000009,0.000001,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.750000,1.500000,2.000000,2,2,0,0,10,5,2,1.000000,1.000000,0.000000,0.000000,2.125000,4.750000,3.000000,2,2,0,0,8,4,1,2.0
2,0,0,8,4,1,1,2,0,0,8,4,1,2,0.000002,0.000000,0.000000,0.000011,0.000006,0.000002,0.000003,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.500000,2,0,0,17,19,3,5,0.000001,0.000000,0.000000,0.000008,0.000009,0.000001,0.000002,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.750000,1.500000,2.000000,2.000000,2,0,0,10,5,2,3,1.000000,0.000000,0.000000,2.125000,4.750000,3.000000,3.000000,2,0,0,8,4,1,2,1.5
1,0,0,0,0,8,0,1,0,0,0,1,8,0,0.000002,0.000001,0.000001,0.000000,0.000002,0.000008,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,4,1,1,0,2,8,0,0.000002,0.000000,0.000000,0.000000,0.000001,0.000003,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000,1.000000,0.000000,2,1,1,0,2,8,0,9.500000,4.000000,5.000000,0.000000,3.000000,1.000000,0.000000,2,1,1,0,1,8,0,1.5
0,0,0,0,8,0,0,0,0,0,1,8,0,0,0.000001,0.000001,0.000000,0.000002,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1,1,0,2,8,0,0,0.000000,0.000000,0.000000,0.000001,0.000003,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,2.000000,2.000000,0.000000,2.000000,1.000000,0.000000,0.000000,1,1,0,2,8,0,0,4.000000,5.000000,0.000000,3.000000,1.000000,0.000000,0.000000,1,1,0,1,8,0,0,5.0
0,0,0,8,0,0,3,0,0,1,8,0,0,1,0.000001,0.000000,0.000002,0.000008,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1,0,2,8,0,0,5,0.000000,0.000000,0.000001,0.000003,0.000000,0.000000,0.000002,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,2.000000,0.000000,2.000000,1.000000,0.000000,0.000000,1.333333,1,0,2,8,0,0,2,5.000000,0.000000,3.000000,1.000000,0.000000,0.000000,1.666667,1,0,1,8,0,0,3,4.5
0,0,8,0,0,3,7,0,1,8,0,0,1,2,0.000000,0.000002,0.000008,0.000000,0.000000,0.000002,0.000003,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0,2,8,0,0,5,17,0.000000,0.000001,0.000003,0.000000,0.000000,0.000002,0.000007,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,2.000000,1.000000,0.000000,0.000000,1.333333,1.428571,0,2,8,0,0,2,3,0.000000,3.000000,1.000000,0.000000,0.000000,1.666667,2.428571,0,1,8,0,0,3,7,4.0
0,8,0,0,3,7,2,1,8,0,0,1,2,2,0.000002,0.000008,0.000000,0.000000,0.000002,0.000003,0.000003,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2,8,0,0,5,17,3,0.000001,0.000003,0.000000,0.000000,0.000002,0.000007,0.000001,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,0.000000,1.333333,1.428571,1.500000,2,8,0,0,2,3,3,3.000000,1.000000,0.000000,0.000000,1.666667,2.428571,1.500000,1,8,0,0,3,7,2,3.0
8,0,0,3,7,2,6,8,0,0,1,2,2,5,0.000008,0.000000,0.000000,0.000002,0.000003,0.000003,0.000007,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,8,0,0,5,17,3,17,0.000003,0.000000,0.000000,0.000002,0.000007,0.000001,0.000008,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.333333,1.428571,1.500000,1.833333,8,0,0,2,3,3,6,1.000000,0.000000,0.000000,1.666667,2.428571,1.500000,2.833333,8,0,0,3,7,2,6,1.0
0,2,10,3,0,7,7,0,3,2,3,0,1,6,0.000000,0.000004,0.000003,0.000005,0.000002,0.000009,0.000009,0.000000,1.000000,1.000000,1.000000,0.000000,0.875000,1.000000,0,4,11,7,7,26,30,0.000000,0.000002,0.000005,0.000003,0.000003,0.000012,0.000016,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,2.000000,1.100000,2.000000,2.000000,1.500000,1.857143,0,4,3,5,2,8,7,0.000000,2.000000,1.100000,2.333333,9.000000,3.500000,4.285714,0,2,10,3,1,8,7,4.0
2,10,3,0,7,7,3,3,2,3,0,1,6,1,0.000004,0.000003,0.000005,0.000002,0.000009,0.000009,0.000003,1.000000,1.000000,1.000000,0.000000,0.875000,1.000000,0.750000,4,11,7,7,26,30,16,0.000002,0.000005,0.000003,0.000003,0.000012,0.000016,0.000007,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.100000,2.000000,2.000000,1.500000,1.857143,1.750000,4,3,5,2,8,7,3,2.000000,1.100000,2.333333,9.000000,3.500000,4.285714,6.000000,2,10,3,1,8,7,4,2.5
3,0,7,7,3,3,1,3,0,1,6,1,3,0,0.000005,0.000002,0.000009,0.000009,0.000003,0.000005,0.000002,1.000000,0.000000,0.875000,1.000000,0.750000,0.750000,1.000000,7,7,26,30,16,5,12,0.000003,0.000003,0.000012,0.000016,0.000007,0.000002,0.000005,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,2.000000,1.500000,1.857143,1.750000,1.250000,2.000000,5,2,8,7,3,5,2,2.333333,9.000000,3.500000,4.285714,6.000000,1.500000,12.000000,3,1,8,7,4,4,1,2.5
1,0,0,2,1,5,0,1,0,0,2,0,4,0,0.000002,0.000000,0.000000,0.000002,0.000002,0.000005,0.000000,0.500000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,2,0,0,2,2,5,0,0.000001,0.000000,0.000000,0.000001,0.000001,0.000002,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.500000,0.000000,0.000000,1.000000,2.000000,1.000000,0.000000,2,0,0,2,2,5,0,2.000000,0.000000,0.000000,1.000000,2.000000,1.000000,0.000000,2,0,0,2,1,5,0,1.0
5,0,1,1,0,3,5,4,0,1,1,0,2,3,0.000005,0.000000,0.000002,0.000002,0.000000,0.000003,0.000006,1.000000,0.000000,1.000000,1.000000,0.000000,0.750000,0.714286,5,0,2,2,0,13,21,0.000002,0.000000,0.000001,0.000001,0.000000,0.000006,0.000009,1.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,2.000000,2.000000,0.000000,2.000000,1.714286,5,0,2,2,0,3,6,1.000000,0.000000,2.000000,2.000000,0.000000,3.750000,4.428571,5,0,1,1,0,4,7,5.0
0,1,1,0,3,5,4,0,1,1,0,2,3,4,0.000000,0.000002,0.000002,0.000000,0.000003,0.000006,0.000004,0.000000,1.000000,1.000000,0.000000,0.750000,0.714286,1.000000,0,2,2,0,13,21,4,0.000000,0.000001,0.000001,0.000000,0.000006,0.000009,0.000002,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,2.000000,2.000000,0.000000,2.000000,1.714286,1.000000,0,2,2,0,3,6,4,0.000000,2.000000,2.000000,0.000000,3.750000,4.428571,1.000000,0,1,1,0,4,7,4,5.5
1,1,0,3,5,4,6,1,1,0,2,3,4,5,0.000002,0.000002,0.000000,0.000003,0.000006,0.000004,0.000006,1.000000,1.000000,0.000000,0.750000,0.714286,1.000000,1.000000,2,2,0,13,21,4,6,0.000001,0.000001,0.000000,0.000006,0.000009,0.000002,0.000003,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.000000,2.000000,1.714286,1.000000,1.000000,2,2,0,3,6,4,6,2.000000,2.000000,0.000000,3.750000,4.428571,1.000000,1.000000,1,1,0,4,7,4,6,3.0
1,0,3,5,4,6,5,1,0,2,3,4,5,2,0.000002,0.000000,0.000003,0.000006,0.000004,0.000006,0.000006,1.000000,0.000000,0.750000,0.714286,1.000000,1.000000,1.000000,2,0,13,21,4,6,6,0.000001,0.000000,0.000006,0.000009,0.000002,0.000003,0.000003,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.000000,2.000000,1.714286,1.000000,1.000000,1.200000,2,0,3,6,4,6,6,2.000000,0.000000,3.750000,4.428571,1.000000,1.000000,1.200000,1,0,4,7,4,6,5,1.5
0,1,0,3,0,1,4,0,0,0,3,0,1,3,0.000000,0.000003,0.000001,0.000004,0.000000,0.000004,0.000009,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0,2,1,3,0,3,13,0.000000,0.000001,0.000001,0.000002,0.000000,0.000002,0.000010,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,2.000000,2.000000,1.000000,0.000000,2.000000,1.750000,0,2,1,3,0,2,5,0.000000,2.000000,3.000000,1.000000,0.000000,3.000000,3.250000,0,1,1,3,0,1,4,2.0
1,0,3,0,1,4,3,0,0,3,0,1,3,0,0.000003,0.000001,0.000004,0.000000,0.000004,0.000009,0.000002,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,2,1,3,0,3,13,3,0.000001,0.000001,0.000002,0.000000,0.000002,0.000010,0.000003,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,1.000000,0.000000,2.000000,1.750000,1.000000,2,1,3,0,2,5,1,2.000000,3.000000,1.000000,0.000000,3.000000,3.250000,1.000000,1,1,3,0,1,4,3,42.5
0,3,0,1,4,3,0,0,3,0,1,3,0,0,0.000001,0.000004,0.000000,0.000004,0.000009,0.000002,0.000004,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1,3,0,3,13,3,7,0.000001,0.000002,0.000000,0.000002,0.000010,0.000003,0.000006,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,1.000000,0.000000,2.000000,1.750000,1.000000,2.000000,1,3,0,2,5,1,2,3.000000,1.000000,0.000000,3.000000,3.250000,1.000000,13.000000,1,3,0,1,4,3,1,51.0
3,0,1,4,3,0,83,3,0,1,3,0,0,20,0.000004,0.000000,0.000004,0.000009,0.000002,0.000004,0.000040,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.988095,3,0,3,13,3,7,155,0.000002,0.000000,0.000002,0.000010,0.000003,0.000006,0.000120,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,2.000000,1.750000,1.000000,2.000000,1.321429,3,0,2,5,1,2,23,1.000000,0.000000,3.000000,3.250000,1.000000,13.000000,2.000000,3,0,1,4,3,1,84,9.5
0,1,4,3,0,83,17,0,1,3,0,0,20,9,0.000000,0.000004,0.000009,0.000002,0.000004,0.000040,0.000022,0.000000,1.000000,1.000000,1.000000,0.000000,0.988095,0.944444,0,3,13,3,7,155,48,0.000000,0.000002,0.000010,0.000003,0.000006,0.000120,0.000036,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,2.000000,1.750000,1.000000,2.000000,1.321429,1.666667,0,2,5,1,2,23,13,0.000000,3.000000,3.250000,1.000000,13.000000,2.000000,2.833333,0,1,4,3,1,84,18,0.5
